Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Verificar Localidade por ID,100,80,14,315,455,501,8,502,0.000%,20.81165,4.80,4.06
Realizar aluguel de Localidade,100,102,27,493,531,571,20,593,0.000%,23.14279,8.09,9.70
TOTAL,200,91,23,410,501,569,8,593,0.000%,41.42502,12.01,12.72
