Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Verificar Localidade por ID,200,10,10,13,15,16,7,18,0.000%,40.15258,9.25,7.84
Realizar aluguel de Localidade,200,20,20,24,29,35,14,55,1.000%,40.16871,14.52,16.66
TOTAL,400,15,16,22,24,33,7,55,0.500%,80.04803,23.69,24.42
